ID;PRODUCTNAME;CODE
429;Polstr na křeslo papasan 100 cm vínový motiv;30236
430;Polstr na křeslo papasan 100 cm zelená kostka;30242
431;Polstr na křeslo papasan 100 cm zelený;30058
432;Polstr na křeslo papasan 110 cm bílý;30060 1
433;Polstr na křeslo papasan 110 cm hnědý list CZ;30061 1
434;Polstr na křeslo papasan 110 cm okrový CZ;30056 1
435;Polstr na křeslo papasan 110 cm pískový;30243 1
436;Polstr na křeslo papasan 110 cm vínový kepr CZ;30055 1
437;Polstr na křeslo papasan 110 cm vínový motiv;30236 1
438;Polstr na křeslo papasan 110 cm zelená kostka;30242 1
439;Polstr na křeslo papasan 110 cm zelený;30058 1
440;Polstr na křeslo papasan double bílý;30173
441;Polstr na křeslo papasan double modrý;30172
442;Polstr na křeslo papasan double okrový;30169
443;Polstr na křeslo papasan double vínový;30033
444;Polstr na křeslo papasan průměr 100 cm barevná mozaika;110050-moza
445;Polstr na křeslo papasan průměr 100 cm květiny;110050-kvet
446;Polstr na křeslo papasan průměr 100 cm modré kopretiny;110050-modr
447;Polstr na křeslo papasan průměr 100 cm žluté kopretiny;110050-zlut
448;Polstr na křeslo Swivel bílý;30277
449;Polstr na křeslo Swivel hnědý list;30278
450;Polstr na křeslo Swivel okrový;30201
451;Polstr na křeslo Swivel vínový;30275
452;Polstr na lavici Bahama bílý;30165
453;Polstr na lavici Bahama bílý Maxi;30229
454;Polstr na lavici Bahama bubliny;30240
455;Polstr na lavici Bahama červený MAXI;30168
456;Polstr na lavici Bahama hnědý list;30141
457;Polstr na lavici Bahama levandule;30412
458;Polstr na lavici Bahama levandule Maxi;30416
459;Polstr na lavici Bahama okrový;30035
460;Polstr na lavici Bahama okrový MAXI;30162
461;Polstr na lavici Bahama vínový;30028
462;Polstr na lavici Bahama vínový MAX;30027
463;Polstr na lavici Bahama vínový motiv;30183
464;Polstr na ratanovou taburetku bílý;30050
465;Polstr na ratanovou taburetku bubliny;30231
466;Polstr na ratanovou taburetku červený;30160
467;Polstr na ratanovou taburetku hnědý list;30158
468;Polstr na ratanovou taburetku modrý;30159
469;Polstr na ratanovou taburetku okrový;30051
470;Polstr na ratanovou taburetku vínový;30190
471;Polstr na ratanovou taburetku vínový motiv;30187
472;Polstr na ratanovou taburetku zelená kostka;30189
473;Polstr na ratanovou taburetku zelený;30161
474;Polstry na soupravu Bahama komplet kepr vínový;30020+30028
475;Polstry na soupravu Bahama komplet levadule;30411+30412
476;Polstry na soupravu Bahama komplet okrový CZ;30034+30035
477;Polstry na soupravu Bahama velká bílé MAXI;30228+30229
478;Polstry na soupravu Bahama velká hnědý list;30140+30141
479;Polstry na soupravu Bahama velká komplet bílé;30164+30165
480;Polstry na soupravu Bahama velká komplet vínový motiv;30182+30183
481;Polstry na soupravu Bahama velká komplet žlutý motiv;30180+30181
482;Polstry na soupravu Bahama velká levandule MAXI ;30415+30416
483;Polstry na soupravu Bahama velká okrové MAXI;30042+30162
484;Polstry na soupravu Bahama velká vínové MAXI;30026+30027
485;Polštářek červený;30332
486;Polštářek hnědý list;30338
487;Polštářek modrý;30334
488;Polštářek zelený;30333
489;Pořadač na časopisy bambus;5032
490;Pořadač na časopisy vodní hyacint;5492
491;Pořadač na časopisy vodní hyacint 6 kusů;5492 set6
492;Prádelní koš bílý ratan ovál;5572
493;Prádelní koš bílý ratan ovál;5573
494;Prádelní koš bílý ratan ovál;5574
495;Prádelní koš kulatý;5095
496;Prádelní koš mořská tráva;445034
497;Prádelní koš oválný;5087
498;Prádelní koš oválný;5088
499;Prádelní koš oválný;5089
500;Prádelní koš půlkulatý;5108
501;Prádelní koš rohový ;5091
502;Prádelní koš s víkem OR L;5619
503;Prádelní koš s víkem OR M;5620
504;Prádelní koš s víkem OR XL;5618
505;Proutěná miska kulatá zelená;5411 G
506;Proutěná miska ovál set 3 kusy - kopie;5013
507;Ratanová jídelní souprava;1078
508;Ratanová jídelní souprava AXIN  wicker mix;110154
509;Ratanová jídelní souprava Bali hnědá;1479
510;Ratanová jídelní souprava ILLINOIS;1413
511;Ratanová jídelní souprava Roma 4+1 ratan kubu polstry šedomodré;158791 M
512;Ratanová komoda 2 zásuvky hnědá;1270
513;Ratanová komoda 2 zásuvky koňak;1273
514;Ratanová komoda 2 zásuvky ratan kubu;1432
515;Ratanová komoda 3 zásuvky brown wash;1288
516;Ratanová komoda 3 zásuvky hnědá ratan;1271
517;Ratanová komoda 3 zásuvky koňak;1274
518;Ratanová komoda 3 zásuvky ratan;1160
519;Ratanová komoda 3 zásuvky ratan kubu;1433
520;Ratanová komoda 3+2 zásuvky brown wash;1372
521;Ratanová komoda 3+2 zásuvky hnědá;1331
522;Ratanová komoda 3+2 zásuvky koňak;1332
523;Ratanová komoda 3+2 zásuvky medová;1330
524;Ratanová komoda 3+2 zásuvky ratan kubu;1429
525;Ratanová komoda 4 zásuvky brown wash;1289
526;Ratanová komoda 4 zásuvky hnědá ratan;1272
527;Ratanová komoda 4 zásuvky koňak;1275
528;Ratanová komoda 4 zásuvky ratan  medová;1161
529;Ratanová komoda 4 zásuvky ratan kubu;1434
530;Ratanová komoda 4+2 zásuvky brown wash;1373
531;Ratanová komoda 4+2 zásuvky hnědá;1334
532;Ratanová komoda 4+2 zásuvky koňak;1335
533;Ratanová komoda 4+2 zásuvky medová;1333
534;Ratanová komoda 4+2 zásuvky ratan kubu;1430
535;Ratanová komoda 6 zásuvek brown wash;1290
536;Ratanová komoda 6 zásuvek hnědá;1238
537;Ratanová komoda 6 zásuvek medová;1126
538;Ratanová komoda 6 zásuvek ratan cognac;1239
539;Ratanová komoda 6 zásuvek ratan kubu;1431
540;Ratanová komoda prádelní Silvana;1155
541;Ratanová komoda Rina světlá;1153
542;Ratanová komoda wicker mix 2 zásuvky;1248
543;Ratanová lavice Bahama hnědá bílý polstr MAXI;153057
544;Ratanová lavice Bahama hnědá polstr hnědý list;153038
545;Ratanová lavice Bahama hnědá polstr MAXI vínový;153055
546;Ratanová lavice Bahama hnědá polstr okrový;153031
547;Ratanová lavice Bahama hnědá polstr okrový MAXI;153051
548;Ratanová lavice Bahama hnědá polstr vínový;153035
549;Ratanová lavice Bahama koňak polstr bílý;153067
550;Ratanová lavice Bahama koňak polstr hnědý list;153068
551;Ratanová lavice Bahama koňak polstr modrý list;153069
552;Ratanová lavice Bahama koňak polstr okrový;153061
553;Ratanová lavice Bahama koňak polstr okrový MAXI;153081
554;Ratanová lavice Bahama koňak polstr vínový;153065
555;Ratanová lavice Bahama koňak polstr vínový MAXI;153085
556;Ratanová lavice Bahama medová polstr bílý;153007
557;Ratanová lavice Bahama medová polstr bílý MAXI;153027
558;Ratanová lavice Bahama medová polstr hnědý list;153008
559;Ratanová lavice Bahama medová polstr hnědý list MAXI;153026
560;Ratanová lavice Bahama medová polstr modrý;153004
561;Ratanová lavice Bahama medová polstr okrový;153001
562;Ratanová lavice Bahama medová polstr okrový MAXI;153021
563;Ratanová lavice Bahama medová polstr vínový;153005
564;Ratanová lavice Bahama medová polstr vínový MAXI;153025
565;Ratanová lavice Bahama medová polstr vínový motiv;153017
566;Ratanová lavice s úložným prostorem brown wash;1423 + 30218
567;Ratanová lavice s úložným prostorem medová;1341 + 30218
568;Ratanová lavice s úložným prostorem wicker mix;1424 + 30218
569;Ratanová miska malá;5444
570;Ratanová miska střední;5443
571;Ratanová miska velká;5441
572;Ratanová odpočinková pohovka hnědá levá polstr hnědý;1494 B
573;Ratanová odpočinková pohovka hnědá levá polstr hnědý;1494 OR
574;Ratanová odpočinková pohovka hnědá levá polstr žlutý;1494 Y
575;Ratanová odpočinková pohovka hnědá pravá polstr hnědý;1384 B
576;Ratanová odpočinková pohovka hnědá pravá polstr oranžový;1384 OR
577;Ratanová odpočinková pohovka hnědá pravá polstr žlutý;1384 Y
578;Ratanová odpočinková pohovka koňak levá polstr hnědý;1493 B
579;Ratanová odpočinková pohovka koňak levá polstr oranžový;1493 OR
580;Ratanová odpočinková pohovka koňak levá polstr žlutý;1493 Y
581;Ratanová odpočinková pohovka koňak pravá  polstr oranžový;1383 OR
582;Ratanová odpočinková pohovka koňak pravá polstr hnědý;1383 B
583;Ratanová odpočinková pohovka koňak pravá polstr žlutý;1383 Y
584;Ratanová odpočinková pohovka medová pravá polstr hnědý;1336 B
585;Ratanová odpočinková pohovka medová pravá polstr oranžový;1336 OR
586;Ratanová pohovka Kina;120077
587;Ratanová pohovka/postel Kayak;1338
588;Ratanová police 4 patra vysoká;1177
589;Ratanová police rohová 4 patra ;1009
590;Ratanová police rohová 4 patra vzhledové vady;1009 VV
591;Ratanová police rohová 6 pater;1029
592;Ratanová police s věšákem hnědá 6847;1167
593;Ratanová sadací souprava Bahama velká polstr vínový;150455
594;Ratanová seadcí souprava Fabion med oválný stolek;151626
595;Ratanová sedací Oliver picolo;157616
596;Ratanová sedací souprava Bahama  polstry pískové;150315
